CODIGO;DEPENDENCIA
rc_cadm_001_2022;rc_cadm_012_2022
rc_cadm_003_2022;rc_cadm_006_2020
rc_cadm_004_2022;rc_cadm_008_2022
rc_cadm_006_2022;rc_cadm_013_2021
rc_cadm_006_2022;rc_cadm_007_2022
rc_cadm_007_2022;rc_cadm_006_2022
rc_cadm_007_2022;rc_cadm_003_2022
rc_cadm_007_2022;rs_cadm_010_2022
rc_cadm_007_2022;rc_cadm_006_2020
rc_cadm_007_2022;rc_cadm_013_2021
rc_cadm_008_2022;rc_cadm_009_2022
rc_cadm_008_2022;rc_cadm_010_2021
rc_cadm_008_2022;rc_cadm_013_2021
rc_cadm_008_2022;rc_cadm_004_2022
rc_cadm_008_2022;rc_cadm_009_2021
rc_cadm_009_2022;rc_cadm_008_2022
rc_cadm_009_2022;rs_pr_3198_2012
rc_cadm_013_2022;rc_cadm_006_2020
rc_cadm_013_2022;rc_cadm_001_2022
rs_cadm_010_2022;rc_cadm_013_2021
